# ----------------------------------------,,,,,,,,
# Vision,,,,,,,,
# LP View by spot_id-LP View by spot_id,,,,,,,,
# 20251130-20260212,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
セグメント,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,合計,
言語,Japanese,English,Korean,Chinese,Portuguese,Swedish,合計,
spot_id,イベント数,イベント数,イベント数,イベント数,イベント数,イベント数,イベント数,
,842,63,24,4,2,2,937,総計
sakana-center,444,24,8,4,2,2,484,
tourist-information-center,385,39,1,0,0,0,425,
migiwaya,13,0,15,0,0,0,28,